Dataset Name,Anomaly Percentage,Initial Anomaly Percentage,Resampled Anomaly Percentage,Number of Features,Model,F1 Score,ROC AUC,PR AUC,MCC,Kappa,Number of Samples,,,
Aletter.npz,10,50,10,32,LOF,0.403292181,0.830033333,0.363430489,0.330407419,0.32369403,1600,,,
Aletter.npz,10,50,10,32,OCSVM,0.215246637,0.618733333,0.176503138,0.118744159,0.117943548,1600,,,
Aletter.npz,10,50,10,32,ISOFOREST,0.165853659,0.622544444,0.143202161,0.070678274,0.070652174,1600,,,
Aletter.npz,20,50,20,32,ABOD,0.712041885,0.92785,0.783052603,0.645337647,0.644243208,1600,,,
Aletter.npz,20,50,20,32,KNN,0.613756614,0.90465,0.663950585,0.525472687,0.524119948,1600,,,
Aletter.npz,20,50,20,32,LOF,0.626865672,0.9003,0.703158013,0.533011578,0.533001245,1600,,,
Aletter.npz,20,50,20,32,OCSVM,0.285714286,0.628375,0.339642355,0.180423757,0.16918429,1600,,,
Aletter.npz,20,50,20,32,ISOFOREST,0.184210526,0.6289,0.270694874,0.058966022,0.054878049,1600,,,
Aletter.npz,30,50,30.03003003,32,ABOD,0.733333333,0.927854077,0.848926711,0.643667856,0.636231224,1600,,,
Aletter.npz,30,50,30.03003003,32,KNN,0.697674419,0.92055794,0.813931227,0.6107541,0.596137699,1600,,,
Aletter.npz,30,50,30.03003003,32,LOF,0.720430108,0.916824034,0.827326546,0.616301845,0.612946488,1600,,,
Aletter.npz,30,50,30.03003003,32,OCSVM,0.330935252,0.621630901,0.462332554,0.229979114,0.195338686,1600,,,
Aletter.npz,30,50,30.03003003,32,ISOFOREST,0.212121212,0.638841202,0.411087042,0.097591316,0.077857067,1600,,,
Aletter.npz,40,50,40,32,ABOD,0.754285714,0.934333333,0.895499942,0.641426981,0.626086957,1600,,,
Aletter.npz,40,50,40,32,KNN,0.744186047,0.925933333,0.863224017,0.63468874,0.615384615,1600,,,
Aletter.npz,40,50,40,32,LOF,0.730337079,0.920733333,0.877046062,0.595661533,0.584775087,1600,,,
Aletter.npz,40,50,40,32,OCSVM,0.360902256,0.635133333,0.570818904,0.260514138,0.202626642,1600,,,
Aletter.npz,40,50,40,32,ISOFOREST,0.290076336,0.641333333,0.523270224,0.163506646,0.124293785,1600,,,
Amammography.npz,10,50,10,6,KNN,0.529595016,0.879153517,0.576740049,0.477289305,0.466053748,11183,,,
Amammography.npz,10,50,10,6,LOF,0.477848101,0.829968771,0.475461842,0.416669723,0.408177905,11183,,,
